city_name,number,lat,lon,temp,humidity,wind_speed,clouds
kondinskoye,365,59.65,67.41,24.31,63,7.31,33
balkanabat,366,39.51,54.36,34.31,30,2.44,0
erenhot,367,43.65,111.97,24.51,43,11.23,100
coruripe,368,-10.12,-36.18,18.21,90,0.5,80
conchas,369,-23.02,-48.01,14.91,92,2.97,100
shiyan,370,32.65,110.78,26.61,65,1.92,100
riyadh,371,24.63,46.72,29,12,3.1,0
stavropol,372,45.04,41.97,16.58,93,1,75
longyan,373,25.1,117.03,33.71,54,0.18,0
kailua,374,21.39,-157.74,28.62,83,4.6,75
whitehorse,375,60.72,-135.06,20.2,37,7.2,75
tigil,376,57.8,158.67,17.51,68,6.14,100
halifax,377,44.65,-63.58,17.01,93,4.1,75
ariquemes,378,-9.91,-63.03,24.31,59,1.01,0
mahibadhoo,379,3.78,72.97,28.81,71,6.05,100
jieshi,380,22.82,115.83,33.89,62,0.45,43
palivere,381,58.97,23.89,13.19,95,2.24,100
real,382,14.67,121.6,28.72,83,4.1,90
sarakhs,383,36.54,61.16,28,48,3.1,0
hanmer springs,384,-42.52,172.83,5.11,84,3.12,19
trairi,385,-3.28,-39.27,22.01,95,1.72,3
manitouwadge,386,49.12,-85.84,18.31,95,6.06,90
dujuma,387,,,,,,
saint anthony,388,43.97,-111.68,21.95,40,5.7,1
hihifo,389,,,,,,
saint simons,390,31.14,-81.39,28.14,66,2.62,1
red bluff,391,40.18,-122.24,30.57,21,3.1,1
tura,392,64.27,100.22,24.31,46,0.28,0
oeiras,393,-7.01,-42.13,24.41,60,2.87,31
fort nelson,394,58.81,-122.69,23,53,1.5,75
muravlenko,395,63.79,74.5,27.41,47,4.36,100
warqla,396,,,,,,
lethbridge,397,49.69,-112.85,21.94,35,4.6,90
zhangjiakou,398,40.77,114.88,21.41,61,2.55,100
tecpan,399,14.76,-90.99,14.44,85,0.53,94
abu dhabi,400,24.47,54.37,30.47,70,2.6,0
rabat,401,34.02,-6.83,19.58,77,2.6,75
salinopolis,402,-0.61,-47.36,27.11,80,5.99,70
el porvenir,403,15.75,-86.9,27,83,1,75
kinanah,404,,,,,,
san giorgio del sannio,405,41.07,14.85,20.37,60,6.2,75
mayskiy,406,43.63,44.06,16.76,93,2,75
honiara,407,-9.43,159.96,31,66,5.1,20
champerico,408,16.38,-93.6,24,83,1.88,75
ugoofaaru,409,5.67,73,28.61,71,6.06,100
kang,410,-23.67,22.79,7.71,36,4.07,0
vanavara,411,60.35,102.28,24.81,59,5.11,100
katsina,412,12.99,7.6,25.71,72,3.41,71
padang,413,-0.92,100.36,27.61,77,3,89
kamaishi,414,39.28,141.86,26,69,2.1,75
contai,415,21.78,87.75,34.11,51,1.9,1
tateyama,416,36.66,137.31,23.14,94,3.6,75
iroquois falls,417,48.76,-80.69,20,64,3.1,75
karur,418,10.96,78.08,27.91,67,4.71,100
ucluelet,419,48.94,-125.55,19.12,89,0.45,0
roald,420,62.58,6.12,9.62,93,3.1,90
taybad,421,34.74,60.78,28.51,27,9.25,0
macomer,422,40.26,8.77,18.76,94,1.5,0
mullaitivu,423,,,,,,
junction city,424,39.03,-96.83,24.45,83,3.64,1
huilong,425,31.15,106.5,23.81,89,1.69,100
cumpas,426,30,-109.78,25.51,60,8.7,90
tahe,427,52.34,124.71,24.51,54,2.23,62
marsh harbour,428,26.54,-77.06,29.21,72,5.35,0
alyangula,429,-13.85,136.42,24,53,5.7,83
morropon,430,-5.18,-79.97,14.31,86,0.36,20
yeppoon,431,-23.13,150.74,21,28,2.1,40
cururupu,432,-1.82,-44.87,22.11,97,0.85,95
coquimbo,433,-29.95,-71.34,11.34,93,2.1,0
hobyo,434,5.35,48.53,24.21,73,8.75,100
sao filipe,435,14.9,-24.5,22.71,87,7.83,0
nantucket,436,41.28,-70.1,20.54,94,2.1,1
sosua,437,19.77,-70.52,27.11,83,5.1,20
meulaboh,438,4.14,96.13,27.21,76,2.93,53
nguiu,439,,,,,,
shache,440,38.42,77.24,29.41,22,3.41,0
pedernales,441,0.07,-80.05,23.61,84,3.61,100
tobane,442,-21.91,28.04,9,81,1.63,0
umea,443,63.83,20.26,12.48,82,3.6,0
bambanglipuro,444,-7.95,110.28,24.41,77,8.72,31
isagarh,445,24.84,77.89,29.41,64,7.38,47
terekli-mekteb,446,44.16,45.87,21.71,70,2.53,53
otaru,447,43.18,140.99,23.57,64,7.7,75
lulea,448,65.58,22.15,10,87,2.6,0
atasu,449,48.68,71.64,26.91,28,5.06,0
porbandar,450,21.64,69.61,30,79,5.1,75
svetlogorsk,451,53.14,59.15,17,63,4,75
male,452,50.74,33.7,14.51,88,0.73,100
nanakuli,453,21.39,-158.15,28.59,61,6.2,75
galesong,454,-5.32,119.37,29,54,1.5,20
verkhnyaya inta,455,65.99,60.32,14.51,85,6.89,100
dunmore east,456,52.15,-6.99,15.34,88,1.78,77
lasa,457,34.92,32.53,21.17,73,3.6,40
staden,458,50.97,3.01,12.4,67,1,90
san ramon de la nueva oran,459,-23.13,-64.33,15.61,78,0.65,100
itarantim,460,-15.65,-40.06,15.21,77,0.46,0
labutta,461,,,,,,
fort frances,462,48.61,-93.4,22.85,73,4.1,1
paita,463,-5.09,-81.11,17.51,90,7.41,47
mahon,464,51.89,-8.4,16.34,93,1.5,75
ilo,465,-17.65,-71.34,14.81,83,1.31,100
madona,466,56.85,26.22,10.31,90,2.11,2
roura,467,4.73,-52.33,24,94,0.83,0
yuzhno-kurilsk,468,44.03,145.86,14.41,86,4.06,87
rzeszow,469,50.04,22,8.08,87,1.5,0
wawa,470,9.9,4.41,22.81,96,1.04,100
huarmey,471,-10.07,-78.15,17.01,86,6.16,75
riviere-au-renard,472,49,-64.4,16,93,1.5,20
aksu,473,52.04,76.93,24,50,1,0
aquiraz,474,-3.9,-38.39,27.72,78,6.2,75
camaqua,475,-30.85,-51.81,6.51,94,1.94,29
rawson,476,-43.3,-65.11,9.71,39,5.3,100
cabanas,477,-8.41,-36.34,14.71,98,2.22,78
barrow,478,-38.31,-60.23,4.91,73,2.73,0
avera,479,33.19,-82.53,26.35,83,1.5,1
ayagoz,480,47.96,80.43,20.41,47,9.83,1
damaturu,481,11.75,11.96,26.91,64,4.82,58
palu,482,-0.9,119.87,28.81,62,2.24,100
novoagansk,483,61.94,76.66,25.21,48,3.39,0
pindi gheb,484,33.24,72.27,23,100,4.1,40
kudahuvadhoo,485,2.67,72.89,27.61,70,5.16,100
buchmany,486,51.07,28.04,11.21,93,1.82,0
qaanaaq,487,77.48,-69.36,6.01,67,1,100
eureka,488,40.8,-124.16,17.92,93,5.1,1
bougouni,489,11.42,-7.49,24.21,86,2.07,100
erzin,490,36.95,36.2,22.77,88,2.6,40
tuktoyaktuk,491,69.44,-133.03,9,87,4.6,75
altay,492,47.83,88.13,19.31,43,2.67,0
komsomolskiy,493,67.55,63.78,10.51,75,5.54,100
estelle,494,43.97,3.47,20.74,49,3.1,0
vao,495,59.1,26.19,10.41,90,2.68,100
saint-joseph,496,43.56,6.97,16.34,82,2.6,0
christchurch,497,-43.53,172.64,11.76,50,1.5,27
khatanga,498,71.98,102.47,16.21,74,1.8,99
necochea,499,-38.55,-58.74,3.89,97,0.89,0
kurilsk,500,45.23,147.88,11.71,83,2.51,0
codrington,501,-28.95,153.24,19.49,33,4.6,0
belyy yar,502,53.6,91.39,17,77,3,40
ellwangen,503,47.98,9.94,10.68,93,1.27,0
fukue,504,35.03,136.69,26.38,83,4.1,75
epe,505,52.18,7.04,13.37,82,2.6,75
alofi,506,-19.06,-169.92,26,74,5.1,75
oistins,507,13.07,-59.53,27.06,78,9.8,75
bur gabo,508,,,,,,
pemangkat,509,,,,,,
huangmei,510,30.1,115.95,29.11,75,3.15,100
dapaong,511,10.86,0.2,23.01,90,2.66,100
san luis,512,-33.3,-66.34,10.41,50,2.36,0
nyakahanga,513,-1,29.54,15.71,76,1.27,0
imbituba,514,-28.24,-48.67,15,100,2.1,75
timmins,515,48.48,-81.33,20,64,3.1,75
moree,516,-29.46,149.84,14.49,50,6.7,0
zharkent,517,44.17,80,17.51,50,2.45,0
